Instance, Scheduled (%), Cost, # F mod., # F req., Max. save (%), F save (%), Avg. save/req
 60r-10v,  60 (100.0),  729,  476,   27,   739 (101.3),    75 (10.3),  2.8
 60r-15v,  60 (100.0),  753,  432,   27,   710 (94.2),    81 (10.7),  3.0
 60r-20v,  60 (100.0),  746,  409,   25,   674 (90.4),    77 (10.3),  3.1
120r-10v, 120 (100.0), 1423,  650,   33,  1013 (71.2),   101 (7.1),  3.1
120r-15v, 120 (100.0), 1487,  469,   28,   781 (52.5),    82 (5.5),  2.9
120r-20v, 120 (100.0), 1446,  569,   30,  1004 (69.5),    86 (6.0),  2.9
180r-10v, 158 (87.8), 1860,  697,   37,  1045 (56.2),   104 (5.6),  2.8
180r-15v, 180 (100.0), 2129,  620,   34,   933 (43.8),   100 (4.7),  2.9
180r-20v, 180 (100.0), 2167,  834,   44,  1426 (65.8),   139 (6.4),  3.1
240r-10v, 176 (73.3), 2157,  486,   25,   774 (35.9),    80 (3.7),  3.2
240r-15v, 235 (97.9), 2594,  611,   44,   958 (36.9),   108 (4.1),  2.4
240r-20v, 240 (100.0), 2507,  718,   48,  1125 (44.9),   127 (5.1),  2.6
300r-10v, 191 (63.7), 2056,  310,   21,   599 (29.2),    69 (3.3),  3.3
300r-15v, 261 (87.0), 2919,  344,   32,   560 (19.2),    84 (2.9),  2.6
300r-20v, 291 (97.0), 3095,  593,   47,   757 (24.5),   114 (3.7),  2.4
360r-10v, 187 (51.9), 2034,  447,   25,   758 (37.3),    76 (3.7),  3.0
360r-15v, 281 (78.1), 2936,  428,   30,   664 (22.6),    81 (2.8),  2.7
360r-20v, 346 (96.1), 3629,  759,   46,  1051 (29.0),   115 (3.2),  2.5
420r-10v, 207 (49.3), 2119,  464,   31,   619 (29.2),    76 (3.6),  2.4
420r-15v, 305 (72.6), 3061,  632,   41,   789 (25.8),    94 (3.1),  2.3
420r-20v, 377 (89.8), 3951,  865,   58,  1353 (34.2),   170 (4.3),  2.9
480r-10v, 205 (42.7), 2056,  271,   16,   366 (17.8),    41 (2.0),  2.6
480r-15v, 302 (62.9), 3075,  393,   31,   722 (23.5),    82 (2.7),  2.6
480r-20v, 402 (83.8), 4014,  821,   48,  1098 (27.3),   118 (2.9),  2.5
540r-10v, 206 (38.1), 2099,  312,   16,   415 (19.8),    36 (1.7),  2.3
540r-15v, 309 (57.2), 3113,  609,   37,   987 (31.7),   104 (3.3),  2.8
540r-20v, 400 (74.1), 4028,  491,   44,   803 (19.9),   111 (2.8),  2.5
600r-10v, 221 (36.8), 2123,  210,   14,   359 (16.9),    43 (2.0),  3.1
600r-15v, 318 (53.0), 3074,  326,   23,   558 (18.1),    67 (2.2),  2.9
600r-20v, 411 (68.5), 4007,  651,   50,   880 (22.0),   122 (3.0),  2.4